Teencode,Meaning
ctrai,con trai
khôg,không
bme,bố mẹ
cta,chúng ta
mih,mình
mqh,mối quan hệ
cgai,con gái
nhữg,những
mng,mọi người
svtn,sinh viên tình nguyện
r,rồi
qtam,quan tâm
thươg,thương
qtâm,quan tâm
chug,chug
trườg,trường
thoy,thôi
đki,đăng ký
atsm,ảo tưởng sức mạnh
ạk,ạ
cv,công việc
vch,vãi chưởng
cùg,cùng
pn,bạn
pjt,biết
thjk,thích
keke,ce ce
ktra,kiểm tra
nek,nè
cgái,con gái
nthe,như thế
chúg,chúng
kái,cái
tìh,tình
phòg,phòng
lòg,lòng
từg,từng
rằg,rằng
sốg,sống
thuj,thôi
thuơng,thương
càg,càng
đky,đăng ký
bằg,bằng
sviên,sinh viên
ák,á
đág,đáng
nvay,như vậy
nhjeu,nhiều
xg,xuống
zồi,rồi
trag,trang
zữ,dữ
atrai,anh trai
kte,kinh tế
độg,động
lmht,liên minh huyền thoại
gắg,gắng
đzal,đẹp trai
thgian,thời gian
plz,pờ ly
đồg,đồng
btrai,bạn trai
nthê,như thế
hìhì,hì hì
vọg,vọng
hihe,hi he
đôg,đông
răg,răng
thườg,thường
tcảm,tình cảm
đứg,đứng
ksao,không sao
dz,đẹp trai
hjxhjx,hix hix
cmày,chúng mày
xuốg,xuống
nkư,như
lquan,liên quan
tiếg,tiếng
hazj,hai
xih,xinh
hìh,hình
thàh,thành
ngke,nghe
dzậy,dậy
teencode,tin cốt
tnào,thế nào
tưởg,tưởng
ctrinh,chương trình
phog,phong
hôg,không
zìa,gì
kũg,cũng
ntnao,như thế nào
trọg,trọng
nthế,như thế
năg,năng
ngđó,người đó
lquen,làm quen
riêg,riêng
ngag,ngang
hêhê,hê hê
bnhiu,bao nhiêu
ngốk,ngốc
kậu,cậu
highland,hai lừn
kqua,kết quả
htrc,hôm trước
địh,định
gđình,gia đinh
giốg,giống
csống,cuộc sống
xug,xùng
zùi,rồi
bnhiêu,bao nhiêu
cbị,chuẩn bị
kòn,còn
buôg,buông
csong,cuộc sống
chàg,chàng
chăg,chăng
ngàh,ngành
llac,liên lạc
nkưng,nhưng
nắg,nắng
tíh,tính
khoảg,khoảng
thík,thích
ngđo,người đó
ngkhác,người khác
thẳg,thẳng
kảm,cảm
dàh,dành
júp,giúp
lặg,lặng
vđê,vấn đề
bbè,bạn bè
bóg,bóng
dky,đăng ký
dòg,dòng
uốg,uống
tyeu,tình yêu
snvv,sinh nhật vui vẻ
đthoại,điện thoại
qhe,quan hệ
cviec,công việc
tượg,tượng
qà,quà
thjc,thích
nhưq,nhưng
cđời,cuộc đời
bthường,bình thường
zà,già
đáh,đánh
xloi,xin lỗi
zám,dám
qtrọng,quan trọng
bìh,bình
lz,làm gì
qhệ,quan hệ
đhbkhn,đại học bách khoa hà nội
hajzz,hai
kúa,c của
lz,làm gì
đhkhtn,đại học khoa học tự nhiên
đóg,đóng
cka,cha
lgi,làm gì
nvậy,như vậy
qả,quả
đkiện,điều kiện
nèk,nè
tlai,tương lai
bsĩ,bác sĩ
hkì,học kỳ
đcsvn,đảng cộng sản việt nam
vde,vấn đề
chta,chúng ta
òy,rồi
ltinh,linh tinh
ngyeu,người yêu
đthoai,điện thoại
snghĩ,suy nghĩ
nặg,nặng
họk,học
dừg,dừng
hphúc,hạnh phúc
hiha,hi ha
wtâm,quan tâm
thíck,thích
chuện,chuyện
lạh,lạnh
fây,phây
ntnày,như thế này
lúk,lúc
haj,hai
ngía,nghía
mớj,mới
hsơ,hồ sơ
ctraj,con trai
nyêu,người yêu
điiiiiii,đi
rồii,rồi
c,chị
kih,kinh
kb,kết bạn
hixxx,huhu
dthương,dễ thương
nhiềuuu,nhiều
ctrình,chương trình
mìnk,mình
mjh,mình
ng,người
vc,vợ chồng
uhm,ừm
thỳ,thì
nyc,người yêu cũ
tks,thanks
nàg,nàng
thôii,thôi
đjên,điên
bgái,bạn gái
vớii,với
xink,xinh
hđộng,hành động
đhọc,đại học
mk,mình
bn,bạn
thik,thích
cj,chị
mn,mọi người
nguoi,người
nógn,nóng
hok,không
ko,không
bik,biết
vs,với
cx,cũng
mik,mình
wtf,what the fuck
đc,được
cmt,comment
ck,chồng
chk,chồng
ngta,người ta
gđ,gia đình
oh,ồ
vk,vợ
ctác,công tác
sg,sài gòn
ae,anh em
ah,à
ạh,ạ
rì,gì
ms,mới
vn,việt nam
nhaa,nha
cũg,cũng
đag,đang
ơiii,ơi
hic,hích
ace,anh chị em
àk,à
uh,ừ
cmm,con mẹ mày
cmnr,con mẹ nó rồi
ơiiii,ơi
hnay,hôm nay
ukm,ừm
tq,trung quốc
ctr,chương trình
đii,đi
nch,nói chuyện
trieu,triệu
hahah,ha ha
nta,người ta
ngèo,nghèo
kêh,kênh
ak,à
ad,admin
j,gì
ny,người yêu
dc,được
qc,quảng cáo
baoh,bao giờ
zui,vui
zẻ,vẻ
tym,tim
k,không,
bt,bình thường,
bth,bình thường,
khong,không,
sp,sản phẩm,
ok,ổn,
oke,ổn,
oki,ổn,
okey,ổn,
okie,ổn,
okay,ổn,
shop,cửa hàng,
thw,thương